Year	Team	No.	Player	Pos	Pos2	Age	Ht	Wt	S	C	Exp	Birth Mth	Birth Day	Birth Year	Birthdate	Summary
1996-97	LAK	7	Steve McKenna	LW	F	23	80	252	L	-	0	8	21	1973	8/21/73	"0 G, 0 A, 0 P"
1997-98	LAK	7	Steve McKenna	LW	F	24	80	252	L	-	1	8	21	1973	8/21/73	"4 G, 4 A, 8 P"
1998-99	LAK	7	Steve McKenna	LW	F	25	80	252	L	-	2	8	21	1973	8/21/73	"1 G, 0 A, 1 P"
1999-00	LAK	7	Steve McKenna	LW	F	26	80	252	L	-	3	8	21	1973	8/21/73	"0 G, 5 A, 5 P"
2000-01	MIN	16	Steve McKenna	LW	F	27	80	252	L	-	4	8	21	1973	8/21/73	"1 G, 1 A, 2 P"
2000-01	PIT	23	Steve McKenna	LW	F	27	80	252	L	-	4	8	21	1973	8/21/73	"0 G, 0 A, 0 P"
2001-02	NYR	21	Steve McKenna	LW	F	28	80	252	L	-	5	8	21	1973	8/21/73	"2 G, 1 A, 3 P"
2002-03	PIT	23	Steve McKenna	LW	F	29	80	252	L	-	6	8	21	1973	8/21/73	"9 G, 1 A, 10 P"
2003-04	PIT	23	Steve McKenna	LW	F	30	80	252	L	-	7	8	21	1973	8/21/73	"1 G, 2 A, 3 P"
2009-10	BUF	57	Tyler Myers	D	D	19	80	227	R	-	0	2	1	1990	2/1/90	"11 G, 37 A, 48 P"
2010-11	BUF	57	Tyler Myers	D	D	20	80	227	R	-	1	2	1	1990	2/1/90	"10 G, 27 A, 37 P"
2011-12	BUF	57	Tyler Myers	D	D	21	80	227	R	-	2	2	1	1990	2/1/90	"8 G, 15 A, 23 P"
2012-13	BUF	57	Tyler Myers	D	D	22	80	227	R	-	3	2	1	1990	2/1/90	"3 G, 5 A, 8 P"
2013-14	BUF	57	Tyler Myers	D	D	23	80	227	R	-	4	2	1	1990	2/1/90	"9 G, 13 A, 22 P"
2014-15	BUF	57	Tyler Myers	D	D	24	80	227	R	-	5	2	1	1990	2/1/90	"4 G, 9 A, 13 P"
2014-15	WPG	57	Tyler Myers	D	D	24	80	227	R	-	5	2	1	1990	2/1/90	"0 G, 2 A, 2 P"
2015-16	WPG	57	Tyler Myers	D	D	25	80	229	R	-	6	2	1	1990	2/1/90	"9 G, 18 A, 27 P"
2016-17	WPG	57	Tyler Myers	D	D	26	80	229	R	-	7	2	1	1990	2/1/90	"2 G, 3 A, 5 P"
2017-18	WPG	57	Tyler Myers	D	D	27	80	229	R	-	8	2	1	1990	2/1/90	"5 G, 18 A, 23 P"
2015-16	CHI	43	Viktor Svedberg	D	D	24	80	238	L	-	0	5	24	1991	5/24/91	"2 G, 2 A, 4 P"
2008-09	TBL	56	Vladimir Mihalik	D	D	22	80	246	L	-	0	1	29	1987	1/29/87	"0 G, 3 A, 3 P"
2009-10	TBL	56	Vladimir Mihalik	D	D	23	80	246	L	-	1	1	29	1987	1/29/87	"0 G, 0 A, 0 P"
2015-16	TBL	62	Andrej Sustr	D	D	25	79	220	R	-	3	11	29	1990	11/29/90	"4 G, 17 A, 21 P"
2016-17	TBL	62	Andrej Sustr	D	D	26	79	220	R	-	4	11	29	1990	11/29/90	"3 G, 11 A, 14 P"
2017-18	TBL	62	Andrej Sustr	D	D	27	79	220	R	-	5	11	29	1990	11/29/90	"2 G, 0 A, 2 P"
2008-09	STL	30	Ben Bishop	G	G	22	79	214	L	L	0	11	21	1986	11/21/86	"1-1-1, 2.94 GAA"
2010-11	STL	30	Ben Bishop	G	G	24	79	214	L	L	1	11	21	1986	11/21/86	"3-4-0, 2.76 GAA"
2011-12	OTT	30	Ben Bishop	G	G	25	79	214	L	L	2	11	21	1986	11/21/86	"3-3-2, 2.48 GAA"
2012-13	OTT	30	Ben Bishop	G	G	26	79	214	L	L	3	11	21	1986	11/21/86	"8-5-0, 2.45 GAA"
2012-13	TBL	30	Ben Bishop	G	G	26	79	214	L	L	3	11	21	1986	11/21/86	"3-4-1, 2.99 GAA"
2013-14	TBL	30	Ben Bishop	G	G	27	79	214	L	L	4	11	21	1986	11/21/86	"37-14-7, 2.23 GAA"
2014-15	TBL	30	Ben Bishop	G	G	28	79	214	L	L	5	11	21	1986	11/21/86	"28-10-3, 2.45 GAA"
2015-16	TBL	30	Ben Bishop	G	G	29	79	225	-	L	6	11	21	1986	11/21/86	"35-21-4, 2.06 GAA"
2016-17	TBL	30	Ben Bishop	G	G	30	79	225	-	L	7	11	21	1986	11/21/86	"16-12-3, 2.55 GAA"
2016-17	LAK	31	Ben Bishop	G	G	30	79	225	-	L	7	11	21	1986	11/21/86	"2-3-2, 2.49 GAA"
2017-18	DAL	30	Ben Bishop	G	G	31	79	225	-	L	8	11	21	1986	11/21/86	"20-12-3, 2.46 GAA"
2007-08	ATL	48	Boris Valabik	D	D	21	79	245	L	-	0	2	14	1986	2/14/86	"0 G, 0 A, 0 P"
2008-09	ATL	48	Boris Valabik	D	D	22	79	245	L	-	1	2	14	1986	2/14/86	"0 G, 5 A, 5 P"
2009-10	ATL	5	Boris Valabik	D	D	23	79	245	L	-	2	2	14	1986	2/14/86	"0 G, 2 A, 2 P"
2007-08	LAK	22	Brian Boyle	C	F	23	79	244	L	-	0	12	18	1984	12/18/84	"4 G, 1 A, 5 P"
2008-09	LAK	22	Brian Boyle	C	F	24	79	244	L	-	1	12	18	1984	12/18/84	"4 G, 1 A, 5 P"
2009-10	NYR	22	Brian Boyle	C	F	25	79	244	L	-	2	12	18	1984	12/18/84	"4 G, 2 A, 6 P"
2010-11	NYR	22	Brian Boyle	C	F	26	79	244	L	-	3	12	18	1984	12/18/84	"21 G, 14 A, 35 P"
2011-12	NYR	22	Brian Boyle	C	F	27	79	244	L	-	4	12	18	1984	12/18/84	"11 G, 15 A, 26 P"
2012-13	NYR	22	Brian Boyle	C	F	28	79	244	L	-	5	12	18	1984	12/18/84	"2 G, 3 A, 5 P"
2013-14	NYR	22	Brian Boyle	C	F	29	79	244	L	-	6	12	18	1984	12/18/84	"6 G, 12 A, 18 P"
2014-15	TBL	11	Brian Boyle	C	F	30	79	244	L	-	7	12	18	1984	12/18/84	"12 G, 5 A, 17 P"
2013-14	CGY	43	Christopher Breen	D	D	24	79	224	L	-	0	6	29	1989	6/29/89	"0 G, 2 A, 2 P"
2005-06	MIN	24	Derek Boogaard	LW	F	23	79	265	R	-	0	6	23	1982	6/23/82	"2 G, 4 A, 6 P"
2006-07	MIN	24	Derek Boogaard	LW	F	24	79	265	R	-	1	6	23	1982	6/23/82	"0 G, 1 A, 1 P"
2007-08	MIN	24	Derek Boogaard	LW	F	25	79	265	R	-	2	6	23	1982	6/23/82	"0 G, 0 A, 0 P"
2008-09	MIN	24	Derek Boogaard	LW	F	26	79	265	R	-	3	6	23	1982	6/23/82	"0 G, 3 A, 3 P"
2009-10	MIN	24	Derek Boogaard	LW	F	27	79	265	R	-	4	6	23	1982	6/23/82	"0 G, 4 A, 4 P"
2010-11	NYR	94	Derek Boogaard	LW	F	28	79	265	R	-	5	6	23	1982	6/23/82	"1 G, 1 A, 2 P"
2003-04	WSH	56	Garret Stroshein	RW	F	23	79	245	R	-	0	4	4	1980	4/4/80	"0 G, 0 A, 0 P"
1997-98	BOS	"25,75"	Hal Gill	D	D	22	79	243	L	-	0	4	6	1975	4/6/75	"2 G, 4 A, 6 P"
1998-99	BOS	25	Hal Gill	D	D	23	79	243	L	-	1	4	6	1975	4/6/75	"3 G, 7 A, 10 P"
1999-00	BOS	25	Hal Gill	D	D	24	79	243	L	-	2	4	6	1975	4/6/75	"3 G, 9 A, 12 P"
2000-01	BOS	25	Hal Gill	D	D	25	79	243	L	-	3	4	6	1975	4/6/75	"1 G, 10 A, 11 P"
2001-02	BOS	25	Hal Gill	D	D	26	79	243	L	-	4	4	6	1975	4/6/75	"4 G, 18 A, 22 P"
2002-03	BOS	25	Hal Gill	D	D	27	79	243	L	-	5	4	6	1975	4/6/75	"4 G, 13 A, 17 P"
2003-04	BOS	25	Hal Gill	D	D	28	79	243	L	-	6	4	6	1975	4/6/75	"2 G, 7 A, 9 P"
2005-06	BOS	25	Hal Gill	D	D	30	79	243	L	-	7	4	6	1975	4/6/75	"1 G, 9 A, 10 P"
2006-07	TOR	25	Hal Gill	D	D	31	79	243	L	-	8	4	6	1975	4/6/75	"6 G, 14 A, 20 P"
2007-08	PIT	2	Hal Gill	D	D	32	79	243	L	-	9	4	6	1975	4/6/75	"1 G, 3 A, 4 P"
2007-08	TOR	2	Hal Gill	D	D	32	79	243	L	-	9	4	6	1975	4/6/75	"2 G, 18 A, 20 P"
2008-09	PIT	2	Hal Gill	D	D	33	79	243	L	-	10	4	6	1975	4/6/75	"2 G, 8 A, 10 P"
2009-10	MTL	75	Hal Gill	D	D	34	79	243	L	-	11	4	6	1975	4/6/75	"2 G, 9 A, 11 P"
2010-11	MTL	75	Hal Gill	D	D	35	79	243	L	-	12	4	6	1975	4/6/75	"2 G, 7 A, 9 P"
2011-12	MTL	75	Hal Gill	D	D	36	79	243	L	-	13	4	6	1975	4/6/75	"1 G, 7 A, 8 P"
2011-12	NSH	75	Hal Gill	D	D	36	79	243	L	-	13	4	6	1975	4/6/75	"0 G, 5 A, 5 P"
2012-13	NSH	75	Hal Gill	D	D	37	79	243	L	-	14	4	6	1975	4/6/75	"0 G, 0 A, 0 P"
2013-14	PHI	75	Hal Gill	D	D	38	79	243	L	-	15	4	6	1975	4/6/75	"0 G, 0 A, 0 P"
2012-13	DAL	43	Jamie Oleksiak	D	D	20	79	252	L	-	0	12	21	1992	12/21/92	"0 G, 2 A, 2 P"
2013-14	DAL	5	Jamie Oleksiak	D	D	21	79	252	L	-	1	12	21	1992	12/21/92	"0 G, 0 A, 0 P"
2014-15	DAL	5	Jamie Oleksiak	D	D	22	79	252	L	-	2	12	21	1992	12/21/92	"1 G, 7 A, 8 P"
2015-16	DAL	5	Jamie Oleksiak	D	D	23	79	255	L	-	3	12	21	1992	12/21/92	"0 G, 2 A, 2 P"
2016-17	DAL	5	Jamie Oleksiak	D	D	24	79	255	L	-	4	12	21	1992	12/21/92	"5 G, 2 A, 7 P"
2017-18	PIT	6	Jamie Oleksiak	D	D	25	79	255	L	-	5	12	21	1992	12/21/92	"2 G, 2 A, 4 P"
2000-01	TBL	57	Kristian Kudroc	D	D	19	79	255	R	-	0	5	21	1981	5/21/81	"2 G, 2 A, 4 P"
2001-02	TBL	11	Kristian Kudroc	D	D	20	79	255	R	-	1	5	21	1981	5/21/81	"0 G, 0 A, 0 P"
2003-04	FLA	33	Kristian Kudroc	D	D	22	79	255	R	-	2	5	21	1981	5/21/81	"0 G, 0 A, 0 P"
1999-00	TBL	43	Kyle Freadrich	RW	F	21	79	260	L	-	0	12	28	1978	12/28/78	"0 G, 0 A, 0 P"
2000-01	TBL	24	Kyle Freadrich	LW	F	22	79	260	L	-	1	12	28	1978	12/28/78	"0 G, 1 A, 1 P"
2015-16	VAN	88	Nikita Tryamkin	D	D	21	79	265	L	-	0	8	30	1994	8/30/94	"1 G, 1 A, 2 P"
2016-17	VAN	88	Nikita Tryamkin	D	D	22	79	265	L	-	1	8	30	1994	8/30/94	"2 G, 7 A, 9 P"
2007-08	NJD	24	Olli Malmivaara	D	D	25	79	230	L	-	0	3	13	1982	3/13/82	"0 G, 0 A, 0 P"
2002-03	WSH	45	Alex Henry	D	D	23	78	231	L	-	0	10	18	1979	10/18/79	"0 G, 0 A, 0 P"
2002-03	EDM	55	Alex Henry	D	D	23	78	231	L	-	0	10	18	1979	10/18/79	"0 G, 0 A, 0 P"
2003-04	MIN	36	Alex Henry	LW	F	24	78	231	L	-	1	10	18	1979	10/18/79	"2 G, 4 A, 6 P"
2005-06	MIN	36	Alex Henry	D	D	26	78	231	L	-	2	10	18	1979	10/18/79	"0 G, 5 A, 5 P"
2008-09	MTL	24	Alex Henry	D	D	29	78	231	L	-	3	10	18	1979	10/18/79	"0 G, 0 A, 0 P"
2002-03	EDM	5	Alexei Semenov	D	D	21	78	245	L	-	0	4	10	1981	4/10/81	"1 G, 6 A, 7 P"
2003-04	EDM	5	Alexei Semenov	D	D	22	78	245	L	-	1	4	10	1981	4/10/81	"2 G, 3 A, 5 P"
2005-06	EDM	5	Alexei Semenov	D	D	24	78	245	L	-	2	4	10	1981	4/10/81	"1 G, 1 A, 2 P"
2005-06	FLA	21	Alexei Semenov	D	D	24	78	245	L	-	2	4	10	1981	4/10/81	"1 G, 1 A, 2 P"
2006-07	FLA	21	Alexei Semenov	D	D	25	78	245	L	-	3	4	10	1981	4/10/81	"0 G, 5 A, 5 P"
2007-08	SJS	21	Alexei Semenov	D	D	26	78	245	L	-	4	4	10	1981	4/10/81	"1 G, 3 A, 4 P"
2008-09	SJS	21	Alexei Semenov	D	D	27	78	245	L	-	5	4	10	1981	4/10/81	"1 G, 7 A, 8 P"
2010-11	NSH	39	Anders Lindback	G	G	22	78	210	-	L	0	5	3	1988	5/3/88	"11-5-2, 2.60 GAA"
2011-12	NSH	39	Anders Lindback	G	G	23	78	210	-	L	1	5	3	1988	5/3/88	"5-8-0, 2.42 GAA"
2012-13	TBL	39	Anders Lindback	G	G	24	78	210	-	L	2	5	3	1988	5/3/88	"10-10-1, 2.90 GAA"
2013-14	TBL	39	Anders Lindback	G	G	25	78	210	-	L	3	5	3	1988	5/3/88	"8-12-2, 2.90 GAA"
2014-15	DAL	29	Anders Lindback	G	G	26	78	210	-	L	4	5	3	1988	5/3/88	"2-8-0, 3.71 GAA"
2015-16	ARZ	29	Anders Lindback	G	G	27	78	215	-	L	5	5	3	1988	5/3/88	"5-7-1, 3.11 GAA"
2015-16	STL	39	Anders Nilsson	G	G	25	78	229	-	L	2	3	19	1990	3/19/90	"0-1-0, 2.76 GAA"
2015-16	EDM	39	Anders Nilsson	G	G	25	78	229	-	L	2	3	19	1990	3/19/90	"10-12-2, 3.14 GAA"
2016-17	BUF	31	Anders Nilsson	G	G	26	78	229	-	L	3	3	19	1990	3/19/90	"10-10-4, 2.67 GAA"
2017-18	VAN	31	Anders Nilsson	G	G	27	78	229	-	L	4	3	19	1990	3/19/90	"6-7-1, 3.57 GAA"
1998-99	SJS	42	Andy Sutton	D	D	23	78	245	L	-	0	3	10	1975	3/10/75	"0 G, 3 A, 3 P"
1999-00	SJS	42	Andy Sutton	D	D	24	78	245	L	-	1	3	10	1975	3/10/75	"1 G, 1 A, 2 P"
2000-01	MIN	42	Andy Sutton	D	D	25	78	245	L	-	2	3	10	1975	3/10/75	"3 G, 4 A, 7 P"
2001-02	ATL	25	Andy Sutton	D	D	26	78	245	L	-	3	3	10	1975	3/10/75	"0 G, 4 A, 4 P"
2001-02	MIN	42	Andy Sutton	D	D	26	78	245	L	-	3	3	10	1975	3/10/75	"2 G, 4 A, 6 P"
2002-03	ATL	25	Andy Sutton	D	D	27	78	245	L	-	4	3	10	1975	3/10/75	"3 G, 18 A, 21 P"
2003-04	ATL	25	Andy Sutton	D	D	28	78	245	L	-	5	3	10	1975	3/10/75	"8 G, 13 A, 21 P"
2005-06	ATL	25	Andy Sutton	D	D	30	78	245	L	-	6	3	10	1975	3/10/75	"8 G, 17 A, 25 P"
2006-07	ATL	25	Andy Sutton	D	D	31	78	245	L	-	7	3	10	1975	3/10/75	"2 G, 14 A, 16 P"
2007-08	NYI	25	Andy Sutton	D	D	32	78	245	L	-	8	3	10	1975	3/10/75	"1 G, 7 A, 8 P"
2008-09	NYI	25	Andy Sutton	D	D	33	78	245	L	-	9	3	10	1975	3/10/75	"2 G, 8 A, 10 P"
2009-10	OTT	5	Andy Sutton	D	D	34	78	245	L	-	10	3	10	1975	3/10/75	"1 G, 0 A, 1 P"
2009-10	NYI	25	Andy Sutton	D	D	34	78	245	L	-	10	3	10	1975	3/10/75	"4 G, 8 A, 12 P"
2010-11	ANA	25	Andy Sutton	D	D	35	78	245	L	-	11	3	10	1975	3/10/75	"0 G, 4 A, 4 P"
2011-12	EDM	25	Andy Sutton	D	D	36	78	245	L	-	12	3	10	1975	3/10/75	"3 G, 7 A, 10 P"
2016-17	PHI	41	Anthony Stolarz	G	G	23	78	210	-	L	0	1	20	1994	1/20/94	"2-1-1, 2.07 GAA"
1980-81	WSH	31	Archie Henderson	RW	F	23	78	220	R	-	0	2	17	1957	2/17/57	"1 G, 0 A, 1 P"
1981-82	MNS	32	Archie Henderson	RW	F	24	78	220	R	-	1	2	17	1957	2/17/57	"0 G, 0 A, 0 P"
1982-83	HAR	29	Archie Henderson	RW	F	25	78	220	R	-	2	2	17	1957	2/17/57	"2 G, 1 A, 3 P"
2015-16	OTT	67	Ben Harpur	D	D	21	78	222	L	-	0	1	12	1995	1/12/95	"0 G, 1 A, 1 P"
2016-17	OTT	67	Ben Harpur	D	D	22	78	222	L	-	1	1	12	1995	1/12/95	"0 G, 0 A, 0 P"
2015-16	TBL	11	Brian Boyle	C	F	31	78	245	L	-	8	12	18	1984	12/18/84	"13 G, 7 A, 20 P"
2016-17	TBL	11	Brian Boyle	C	F	32	78	245	L	-	9	12	18	1984	12/18/84	"13 G, 9 A, 22 P"
2016-17	TOR	24	Brian Boyle	C	F	32	78	245	L	-	9	12	18	1984	12/18/84	"0 G, 3 A, 3 P"
2017-18	NJD	11	Brian Boyle	C	F	33	78	245	L	-	10	12	18	1984	12/18/84	"11 G, 6 A, 17 P"
2015-16	OTT	55	Buddy Robinson	RW	F	24	78	232	R	-	0	8	30	1991	8/30/91	"1 G, 1 A, 2 P"
2016-17	OTT	55	Buddy Robinson	RW	F	25	78	232	R	-	1	8	30	1991	8/30/91	"0 G, 0 A, 0 P"
1993-94	HAR	44	Chris Pronger	D	D	19	78	220	L	-	0	10	10	1974	10/10/74	"5 G, 25 A, 30 P"
1994-95	HAR	44	Chris Pronger	D	D	20	78	220	L	-	1	10	10	1974	10/10/74	"5 G, 9 A, 14 P"
1995-96	STL	44	Chris Pronger	D	D	21	78	220	L	-	2	10	10	1974	10/10/74	"7 G, 18 A, 25 P"
1996-97	STL	44	Chris Pronger	D	D	22	78	220	L	-	3	10	10	1974	10/10/74	"11 G, 24 A, 35 P"
1997-98	STL	44	Chris Pronger	D	D	23	78	220	L	-	4	10	10	1974	10/10/74	"9 G, 27 A, 36 P"
1998-99	STL	44	Chris Pronger	D	D	24	78	220	L	-	5	10	10	1974	10/10/74	"13 G, 33 A, 46 P"
1999-00	STL	44	Chris Pronger	D	D	25	78	220	L	-	6	10	10	1974	10/10/74	"14 G, 48 A, 62 P"
2000-01	STL	44	Chris Pronger	D	D	26	78	220	L	-	7	10	10	1974	10/10/74	"8 G, 39 A, 47 P"
2001-02	STL	44	Chris Pronger	D	D	27	78	220	L	-	8	10	10	1974	10/10/74	"7 G, 40 A, 47 P"
2002-03	STL	44	Chris Pronger	D	D	28	78	220	L	-	9	10	10	1974	10/10/74	"1 G, 3 A, 4 P"
2003-04	STL	44	Chris Pronger	D	D	29	78	220	L	-	10	10	10	1974	10/10/74	"14 G, 40 A, 54 P"
2005-06	EDM	44	Chris Pronger	D	D	31	78	220	L	-	11	10	10	1974	10/10/74	"12 G, 44 A, 56 P"
2006-07	ANA	25	Chris Pronger	D	D	32	78	220	L	-	12	10	10	1974	10/10/74	"13 G, 46 A, 59 P"
2007-08	ANA	25	Chris Pronger	D	D	33	78	220	L	-	13	10	10	1974	10/10/74	"12 G, 31 A, 43 P"
2008-09	ANA	25	Chris Pronger	D	D	34	78	220	L	-	14	10	10	1974	10/10/74	"11 G, 37 A, 48 P"
2009-10	PHI	20	Chris Pronger	D	D	35	78	220	L	-	15	10	10	1974	10/10/74	"10 G, 45 A, 55 P"
2010-11	PHI	20	Chris Pronger	D	D	36	78	220	L	-	16	10	10	1974	10/10/74	"4 G, 21 A, 25 P"
2011-12	PHI	20	Chris Pronger	D	D	37	78	220	L	-	17	10	10	1974	10/10/74	"1 G, 11 A, 12 P"
1995-96	PIT	12	Chris Wells	C	F	20	78	223	L	-	0	11	12	1975	11/12/75	"2 G, 2 A, 4 P"
1996-97	FLA	23	Chris Wells	C	F	21	78	223	L	-	1	11	12	1975	11/12/75	"2 G, 6 A, 8 P"
1997-98	FLA	23	Chris Wells	LW	F	22	78	223	L	-	2	11	12	1975	11/12/75	"5 G, 10 A, 15 P"
1998-99	FLA	23	Chris Wells	C	F	23	78	223	L	-	3	11	12	1975	11/12/75	"0 G, 2 A, 2 P"
1999-00	FLA	23	Chris Wells	C	F	24	78	223	L	-	4	11	12	1975	11/12/75	"0 G, 0 A, 0 P"
2015-16	STL	55	Colton Parayko	D	D	22	78	230	R	-	0	5	12	1993	5/12/93	"9 G, 24 A, 33 P"
2016-17	STL	55	Colton Parayko	D	D	23	78	230	R	-	1	5	12	1993	5/12/93	"4 G, 31 A, 35 P"
2017-18	STL	55	Colton Parayko	D	D	24	78	230	R	-	2	5	12	1993	5/12/93	"5 G, 19 A, 24 P"
2013-14	BUF	49	Connor Knapp	G	G	23	78	206	-	L	0	5	1	1990	5/1/90	"0-0-1, 3.12 GAA"
2001-02	PHX	37	Dan Focht	D	D	24	78	234	L	-	0	12	31	1977	12/31/77	"0 G, 0 A, 0 P"
2002-03	PIT	4	Dan Focht	D	D	25	78	234	L	-	1	12	31	1977	12/31/77	"0 G, 3 A, 3 P"
2002-03	PHX	37	Dan Focht	D	D	25	78	234	L	-	1	12	31	1977	12/31/77	"0 G, 0 A, 0 P"
2003-04	PIT	4	Dan Focht	D	D	26	78	234	L	-	2	12	31	1977	12/31/77	"2 G, 3 A, 5 P"
2006-07	CHI	48	David Koci	LW	F	25	78	238	L	-	0	5	12	1981	5/12/81	"0 G, 0 A, 0 P"
2007-08	CHI	48	David Koci	LW	F	26	78	238	L	-	1	5	12	1981	5/12/81	"0 G, 0 A, 0 P"
